Timestamp,College branch,Batch,Read and check *Criteria* meaning,The course instructor's influence is minimized when ranking courses by imagining all courses being taught by a perfect instructor. تخيل أن اللي يدرسها دكتور كامل ولا تاخذ بعين الاعتبار أي تحيز يسببه. التقييم للمواد وليس الدكاترة,ENGLISH100 [Application],ENGLISH100 [Relevance],ENGLISH100 [Insight],ENGLISH100 [Understanding],ENGLISH100 [Ease],Other details you want to add,ARB100 [Application],ARB100 [Relevance],ARB100 [Insight],ARB100 [Understanding],ARB100 [Ease],Other details you want to add,MATH101 [Application],MATH101 [Relevance],MATH101 [Insight],MATH101 [Understanding],MATH101 [Ease],Other details you want to add,CHEM101 [Application],CHEM101 [Relevance],CHEM101 [Insight],CHEM101 [Understanding],CHEM101 [Ease],Other details you want to add,STAT101 [Application],STAT101 [Relevance],STAT101 [Insight],STAT101 [Understanding],STAT101 [Ease],Other details you want to add,TECH101 [Application],TECH101 [Relevance],TECH101 [Insight],TECH101 [Understanding],TECH101 [Ease],Other details you want to add,ENTREPRENEUR(ريد)101 [Application],ENTREPRENEUR(ريد)101 [Relevance],ENTREPRENEUR(ريد)101 [Insight],ENTREPRENEUR(ريد)101 [Understanding],ENTREPRENEUR(ريد)101 [Ease],Other details you want to add,FAJAB101 [Application],FAJAB101 [Relevance],FAJAB101 [Insight],FAJAB101 [Understanding],FAJAB101 [Ease],Other details you want to add,NAHAJ101 [Application],NAHAJ101 [Relevance],NAHAJ101 [Insight],NAHAJ101 [Understanding],NAHAJ101 [Ease],Other details you want to add,ENGLISH110 [Application],ENGLISH110 [Relevance],ENGLISH110 [Insight],ENGLISH110 [Understanding],ENGLISH110 [Ease],Other details you want to add,SALAM107 [Application],SALAM107 [Relevance],SALAM107 [Insight],SALAM107 [Understanding],SALAM107 [Ease],Other details you want to add,PHYS104 [Application],PHYS104 [Relevance],PHYS104 [Insight],PHYS104 [Understanding],PHYS104 [Ease],Other details you want to add,MATH106 [Application],MATH106 [Relevance],MATH106 [Insight],MATH106 [Understanding],MATH106 [Ease],Other details you want to add,CSC111 [Application],CSC111 [Relevance],CSC111 [Insight],CSC111 [Understanding],CSC111 [Ease],Other details you want to add,MATH151 [Application],MATH151 [Relevance],MATH151 [Insight],MATH151 [Understanding],MATH151 [Ease],Other details you want to add,SALAM108 [Application],SALAM108 [Relevance],SALAM108 [Insight],SALAM108 [Understanding],SALAM108 [Ease],Other details you want to add,CSC113 [Application],CSC113 [Relevance],CSC113 [Insight],CSC113 [Understanding],CSC113 [Ease],Other details you want to add,CSC220 [Application],CSC220 [Relevance],CSC220 [Insight],CSC220 [Understanding],CSC220 [Ease],Other details you want to add,MATH244 [Application],MATH244 [Relevance],MATH244 [Insight],MATH244 [Understanding],MATH244 [Ease],Other details you want to add,CSC212 [Application],CSC212 [Relevance],CSC212 [Insight],CSC212 [Understanding],CSC212 [Ease],Other details you want to add,CSC215 [Application],CSC215 [Relevance],CSC215 [Insight],CSC215 [Understanding],CSC215 [Ease],Other details you want to add,MATH281 [Application],MATH281 [Relevance],MATH281 [Insight],MATH281 [Understanding],MATH281 [Ease],Other details you want to add,CSC304 [Application],CSC304 [Relevance],CSC304 [Insight],CSC304 [Understanding],CSC304 [Ease],Other details you want to add,CSC380 [Application],CSC380 [Relevance],CSC380 [Insight],CSC380 [Understanding],CSC380 [Ease],Other details you want to add,CSC227 [Application],CSC227 [Relevance],CSC227 [Insight],CSC227 [Understanding],CSC227 [Ease],Other details you want to add,CSC311 [Application],CSC311 [Relevance],CSC311 [Insight],CSC311 [Understanding],CSC311 [Ease],Other details you want to add,CSC339 [Application],CSC339 [Relevance],CSC339 [Insight],CSC339 [Understanding],CSC339 [Ease],Other details you want to add,CSC343 [Application],CSC343 [Relevance],CSC343 [Insight],CSC343 [Understanding],CSC343 [Ease],Other details you want to add,CSC361 [Application],CSC361 [Relevance],CSC361 [Insight],CSC361 [Understanding],CSC361 [Ease],Other details you want to add,CSC329 [Application],CSC329 [Relevance],CSC329 [Insight],CSC329 [Understanding],CSC329 [Ease],Other details you want to add,CSC340 [Application],CSC340 [Relevance],CSC340 [Insight],CSC340 [Understanding],CSC340 [Ease],Other details you want to add,CSC453 [Application],CSC453 [Relevance],CSC453 [Insight],CSC453 [Understanding],CSC453 [Ease],Other details you want to add,CSC496 [Application],CSC496 [Relevance],CSC496 [Insight],CSC496 [Understanding],CSC496 [Ease],Other details you want to add,PHYS210 [Application],PHYS210 [Relevance],PHYS210 [Insight],PHYS210 [Understanding],PHYS210 [Ease],Other details you want to add,PHYS103 [Application],PHYS103 [Relevance],PHYS103 [Insight],PHYS103 [Understanding],PHYS103 [Ease],Other details you want to add,CHEM103 [Application],CHEM103 [Relevance],CHEM103 [Insight],CHEM103 [Understanding],CHEM103 [Ease],Other details you want to add,CSC443 [Application],CSC443 [Relevance],CSC443 [Insight],CSC443 [Understanding],CSC443 [Ease],Other details you want to add,CSC462 [Application],CSC462 [Relevance],CSC462 [Insight],CSC462 [Understanding],CSC462 [Ease],Other details you want to add,CSC476 [Application],CSC476 [Relevance],CSC476 [Insight],CSC476 [Understanding],CSC476 [Ease],Other details you want to add,CSC478 [Application],CSC478 [Relevance],CSC478 [Insight],CSC478 [Understanding],CSC478 [Ease],Other details you want to add,CSC484 [Application],CSC484 [Relevance],CSC484 [Insight],CSC484 [Understanding],CSC484 [Ease],Other details you want to add,CSC489 [Application],CSC489 [Relevance],CSC489 [Insight],CSC489 [Understanding],CSC489 [Ease],Other details you want to add
02/01/2022 18:03:18,Males,439,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,5,5,2,1,5,,1,3,1,1,2,,5,5,5,5,2,This was the best course in my college experience!,1,4,1,2,2,,5,5,4,4,2,,4,2,1,1,5,,1,1,1,1,3,,1,2,1,2,4,,2,1,1,5,4,,5,3,1,1,5,,1,5,1,1,3,,3,5,3,2,2,,3,5,3,3,1,,5,3,3,5,4,,4,5,4,4,4,,1,5,1,1,4,,2,2,1,3,4,,5,5,5,4,2,,5,5,4,3,1,,4,3,5,5,2,,5,4,4,4,2,,2,5,3,5,3,,1,4,1,2,5,,5,1,4,2,2,,4,3,4,2,3,,4,5,4,5,2,,1,5,4,5,3,,3,2,2,1,2,,3,4,3,4,2,,5,5,5,5,3,,2,3,3,4,2,,3,2,4,2,3,,5,5,4,4,1,,,,,,,,3,5,2,4,1,,,,,,,,2,3,2,1,5,,5,5,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 16:49:17,Males,439,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,5,5,5,4,5,,3,3,3,3,3,,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 16:56:06,Males,439,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,5,5,1,1,5,,3,1,1,1,1,,3,3,4,3,3,,1,1,1,2,3,,5,5,5,4,3,,1,1,1,1,1,,4,2,3,1,1,,1,1,1,1,1,,1,1,1,1,1,,5,5,1,2,5,,5,5,5,5,5,,1,1,1,1,1,,3,3,3,3,3,,5,5,5,5,5,,5,4,3,3,4,,1,1,1,1,1,,5,4,4,4,4,,2,4,3,3,3,,5,4,3,3,4,,5,5,5,5,5,,5,4,5,4,2,,5,4,4,4,4,,1,1,1,1,1,,4,4,3,3,4,,3,4,4,4,3,,5,5,5,5,3,,1,5,4,3,3,,3,3,1,1,1,,5,4,4,4,3,,5,5,5,5,5,,5,5,5,5,5,,5,3,3,4,4,,3,3,3,3,3,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,3,3,2,3,3,,5,4,4,5,5,,3,2,2,3,2,,2,3,2,2,3,,2,2,1,1,1,,1,3,1,2,2,
02/01/2022 16:56:44,Males,441,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,3,5,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,3,5,,1,1,1,1,2,,1,2,2,3,3,,3,2,5,5,5,,5,5,5,5,5,,5,5,4,2,5,,5,5,5,5,4,,,,,,,,2,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 18:20:23,Males,438,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,5,5,5,5,5,,1,2,2,2,4,,3,3,3,1,1,,1,1,1,1,1,,4,4,4,3,3,,4,4,4,4,5,,3,3,2,2,4,,1,1,1,1,5,,4,2,2,3,4,,5,5,5,5,5,,,,,,,,2,1,2,2,1,,2,1,1,1,1,,5,5,5,5,5,,3,3,3,2,2,,,,,,,,5,5,5,5,5,,2,2,2,2,2,,3,3,2,2,2,,5,5,5,5,5,,,,,,,,3,3,3,3,2,,1,1,1,1,1,,5,4,4,4,4,,5,2,2,3,3,,5,5,5,5,5,,1,1,1,1,1,,5,4,4,3,3,,5,2,3,5,4,,5,5,5,5,4,,2,1,1,1,1,,4,1,3,3,3,,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 19:54:18,Males,442,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,5,5,3,5,5,,2,4,2,5,5,,3,5,3,4,3,,3,4,3,4,4,,4,4,3,3,3,,3,2,2,4,4,,2,1,1,4,5,,,,,,,,1,1,1,4,5,,4,4,3,5,5,,2,2,2,5,5,,,,,,,,3,5,4,4,2,,5,4,4,5,4,,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2022 20:00:42,Females,441,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,5,3,3,5,5,,5,1,1,5,5,,5,4,1,4,4,,1,2,1,1,2,,4,5,3,4,4,,2,3,2,5,5,,3,1,4,5,5,,3,3,1,5,5,,4,3,2,5,5,,4,4,4,5,5,,4,4,4,5,5,,4,3,4,3,3,,5,5,3,3,4,,5,3,2,5,4,,5,5,5,5,4,,,,,,,,5,4,5,5,4,,3,2,4,5,5,,5,5,5,5,3,,5,5,5,5,5,,,,,,,,5,5,5,4,3,,1,1,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2022 06:42:26,Males,439,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,2,5,1,3,5,,3,3,4,4,3,,2,4,3,4,3,,2,4,3,2,2,,5,5,5,3,3,,3,3,3,2,4,,2,3,2,4,5,,2,2,2,3,3,,3,3,4,4,4,,3,3,2,3,5,,2,2,3,3,5,,1,2,2,2,2,,3,3,2,3,3,,4,4,4,5,5,,5,5,5,5,4,,1,1,1,1,5,,2,2,2,4,4,,4,4,5,5,3,,4,5,5,5,4,,4,4,4,5,4,,4,3,3,4,3,,4,4,5,5,5,,5,5,5,5,5,,1,2,1,3,5,,3,3,3,2,5,,5,5,5,5,5,,2,4,5,5,5,,3,3,3,2,4,,2,2,4,4,4,,4,5,5,4,3,,3,4,5,5,5,,2,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2022 11:14:45,Males,439,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,1,1,1,1,1,,3,2,5,5,5,,5,5,5,5,5,,5,1,2,2,2,,5,5,5,5,5,,5,3,3,5,5,,1,1,1,1,1,,5,3,5,5,5,,5,4,4,4,4,,1,1,1,1,1,,1,2,1,4,4,,3,3,1,2,1,,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,,1,2,1,4,4,,5,5,5,5,5,,,,,,,,,,,,,,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,,2,2,5,5,5,,5,5,5,5,5,,3,5,3,3,3,,5,5,5,5,5,,5,3,5,5,5,,2,3,3,3,3,,5,5,5,5,3,,5,5,5,5,5,,2,5,5,5,3,,5,3,4,4,4,,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2022 20:05:04,Males,439,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2022 20:24:58,Females,441,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,5,5,5,5,5,,5,5,5,4,4,,5,5,5,5,4,,5,1,1,2,3,,5,4,4,5,5,,4,3,3,3,5,,5,5,5,5,5,,3,3,3,3,5,,2,2,2,3,4,,5,5,5,5,5,,5,5,5,5,5,,4,4,4,4,4,,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,,,,,,,,5,5,4,4,4,,5,5,5,5,5,,4,3,4,4,4,,5,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2022 20:35:38,Females,441,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,4,4,4,4,5,,3,2,2,5,5,,4,4,5,3,3,,1,1,1,1,1,,4,4,3,3,3,,4,4,4,5,5,,5,5,5,3,5,,3,4,3,5,5,,4,3,3,5,5,,4,4,4,3,5,,3,3,3,5,5,,3,3,3,1,2,,4,4,5,3,3,,5,5,5,4,3,,5,5,4,3,4,,3,3,3,5,5,,5,5,5,4,3,,5,3,3,2,4,,3,4,3,1,3,,5,5,5,4,3,,3,2,3,3,3,,4,3,3,2,3,,4,4,3,5,5,,4,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2022 20:35:52,Males,438,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,,,,,,,5,4,4,4,4,,4,3,3,4,3,,2,3,2,5,5,,5,3,3,4,3,,3,3,3,5,5,,5,2,2,,5,,3,3,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,5,5,,2,2,2,4,3,,,,,,,,5,5,5,5,5,,3,3,2,2,3,,2,2,2,3,2,,,5,4,4,4,,4,3,3,2,1,,3,3,3,2,3,,2,2,2,2,5,,3,4,3,5,5,,3,3,3,4,3,,5,5,5,5,4,,2,2,4,3,4,,4,5,4,4,5,,2,2,2,2,3,,3,4,3,3,4,,1,1,3,3,1,,3,3,2,3,4,,,,,,,,,,,,,,3,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,
03/01/2022 22:21:13,Females,439,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,5,5,5,5,5,She let me love the English and can speak fluently than than the past ,5,5,5,5,5,So accurate and gives examples that helps so well ,3,3,3,3,2,,3,5,5,5,4,,1,1,1,1,1,,4,4,4,4,4,,5,5,5,5,5,,5,5,4,4,4,,5,5,5,5,5,,5,5,5,5,4,,5,5,5,5,3,,5,5,5,5,5,Just unexpected exam with the material we have studied ,5,5,5,5,5,,5,4,4,4,4,,3,3,3,3,2,,5,5,2,2,2,,5,5,5,3,3,,4,4,4,4,3,,3,2,2,2,2,,5,5,5,5,5,,3,3,4,3,2,,5,5,5,3,2,,5,5,5,5,5,,3,3,3,3,3,,3,2,2,1,1,,5,5,5,5,5,,4,4,4,4,3,,2,2,2,2,2,,5,5,5,4,2,,3,4,4,4,3,,3,3,3,2,2,,1,2,2,2,1,Till now I do not know the purpose of it and how it actually truly works. ,,,,,,I do not take this course. ,,,,,,I do not take this course. ,3,2,2,2,3,,,,,,,I do not take this course. ,,,,,,I do not take this course. ,,,,,,I do not take this course. ,,,,,,I do not take this course. ,,,,,,I do not take this course. ,,,,,,I do not take this course. ,,,,,,I do not take this course. 
05/01/2022 02:51:06,Females,441,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Relevance: This refers to the new-ness of the knowledge taught compared to the current (as of this document's date) state of the art., Insight: This refers to the quality of the knowledge gained with respect to understanding the world and expanding one's horizons., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions., Ease: This refers to how easy the course was.",OK,5,5,3,5,5,,5,3,5,2,5,,3,5,4,5,4,,1,3,1,3,1,,5,4,4,4,3,,5,3,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,3,1,,3,4,5,5,3,,5,5,5,5,4,,5,5,5,5,5,,,,,,,,5,4,5,5,3,,5,4,5,5,4,,3,5,5,3,3,,5,5,5,5,3,,3,1,3,3,3,,5,5,5,5,2,,5,5,5,1,5,,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2022 00:19:40,Males,439,"Applications: This refers to real-world applications of the knowledge gained by studying the course., Understanding: This refers to the proportion of the course's understanding portions over the memorization portions.",OK,2,2,2,2,2,,2,2,2,2,2,,3,2,3,2,3,,2,2,2,3,3,,3,3,3,3,3,,2,2,2,3,3,,3,2,2,2,3,,2,1,2,1,2,,1,2,1,2,2,,,,,,,,3,2,3,2,3,,2,2,1,2,2,,3,3,2,3,3,,3,3,3,3,3,,3,2,3,2,3,,2,2,2,3,3,,3,2,2,3,3,,3,2,2,2,2,,3,3,3,3,3,,3,2,2,3,3,,2,2,2,2,1,,3,3,3,3,3,,,,,,,,3,2,2,2,3,,3,2,3,2,3,,3,3,3,3,3,,3,3,3,3,3,,3,2,2,2,3,,,,,,,,3,3,3,3,3,,1,2,1,2,1,,3,2,2,3,3,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,3,2,2,3,3,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,